title	url	local	status
Quake: Adaptive Indexing for Vector Search	https://www.usenix.org/system/files/osdi25-mohoney.pdf	related-work/pdfs/sec4/quake.pdf	ok (1449125 bytes)
Ada-IVF: Incremental IVF Index Maintenance for Streaming Vector Search	https://arxiv.org/pdf/2411.00970.pdf	related-work/pdfs/ada-ivf.pdf	ok (2288355 bytes)
FreshDiskANN: A Fast and Accurate Graph-Based ANN Index for Streaming Similarity Search	https://arxiv.org/pdf/2105.09613.pdf	related-work/pdfs/freshdiskann.pdf	ok (1300909 bytes)
Product Quantization for Nearest Neighbor Search (IVF-PQ)	https://inria.hal.science/inria-00514462/document	related-work/pdfs/product-quantization-for-nearest-neighbor-search.pdf	ok (12534 bytes)
Pinecone (Serverless)	https://www.pinecone.io/blog/serverless-architecture/	related-work/pdfs/pinecone.pdf	ok (272593 bytes)
Milvus (production architecture)	https://milvus.io/blog/deep-dive-1-milvus-architecture-overview.md	related-work/pdfs/milvus-2.pdf	fail: HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Temporarily
Weaviate	https://docs.weaviate.io/weaviate/concepts/storage	related-work/pdfs/weaviate.pdf	ok (45903 bytes)
Qdrant	https://qdrant.tech/articles/multitenancy/	related-work/pdfs/qdrant.pdf	ok (54749 bytes)
OpenSearch k-NN	https://docs.opensearch.org/latest/mappings/supported-field-types/knn-methods-engines/	related-work/pdfs/opensearch-k-nn.pdf	ok (471010 bytes)
